signal_id,tier,timeframe,symbol,signal_time,entry_time,close_time,raw_entry_px,raw_exit_px,raw_gross_pct,exit_reason,bars_held,status,first_seen_run_id,last_seen_run_id
345cb4322fdc29a18a10c914208728d9,fast,1h,BTC,2022-09-26T08:00:00+00:00,2022-09-26T09:00:00+00:00,2022-09-26T09:00:00+00:00,19279.43,19084.6,-1.0105589221258149,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
9bf72186d286642d43685a2c4b0788e9,fast,1h,BTC,2022-09-27T01:00:00+00:00,2022-09-27T02:00:00+00:00,2022-09-27T02:00:00+00:00,19769.5,20051.35,1.4256809732163145,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
8bddfba0cd33741abe4782287e3193b4,fast,1h,BNB,2022-09-30T14:00:00+00:00,2022-09-30T15:00:00+00:00,2022-10-01T16:00:00+00:00,288.7604,279.5573,-3.1871059882172204,trend_break,26,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
03ae9348463f6902aff8f03c028b2b28,fast,1h,BTC,2022-09-30T14:00:00+00:00,2022-09-30T15:00:00+00:00,2022-09-30T15:00:00+00:00,19997.16,19749.12,-1.2403761334109475,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
febff686a7f3aec3ed78b288d7e36860,fast,1h,ETH,2022-09-30T14:00:00+00:00,2022-09-30T15:00:00+00:00,2022-09-30T15:00:00+00:00,1360.57,1351.56,-0.6622224508845531,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
7ea1e1ba9cc5cb10cec03b461798df77,fast,1h,SOL,2022-09-30T14:00:00+00:00,2022-09-30T15:00:00+00:00,2022-09-30T19:00:00+00:00,35.0644,33.6458,-4.0456987714034724,trend_break,5,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
54cd5c5e376d153759b444c02d56d646,fast,1h,BNB,2022-10-04T13:00:00+00:00,2022-10-04T14:00:00+00:00,2022-10-06T21:00:00+00:00,296.3482,286.6245209576623,-3.281166898377552,stop,56,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
858dd1cff5d4a17e70849a211774cef1,fast,1h,SOL,2022-10-17T13:00:00+00:00,2022-10-17T14:00:00+00:00,2022-10-17T14:00:00+00:00,31.0234,30.8412,-0.5872986197515417,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
9c85a9d4fa9bc71d3d3d099b87bb628b,fast,1h,ADA,2022-10-23T22:00:00+00:00,2022-10-23T23:00:00+00:00,2022-10-23T23:00:00+00:00,0.361,0.36207,0.29639889196675373,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
ad1c5c2fd4d70c50d865f7509df4dc24,fast,1h,ADA,2022-10-25T13:00:00+00:00,2022-10-25T14:00:00+00:00,2022-10-25T14:00:00+00:00,0.36708,0.3711,1.0951291271657393,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
fd1ca7fa4018f79034bcbf106bc2a297,fast,1h,BTC,2022-10-25T13:00:00+00:00,2022-10-25T14:00:00+00:00,2022-11-08T03:00:00+00:00,19482.47,20143.74,3.3941794854553953,trend_break,326,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
5a9b43e9b00355299e7a12315543c7e3,fast,1h,SOL,2022-10-25T14:00:00+00:00,2022-10-25T15:00:00+00:00,2022-10-25T15:00:00+00:00,29.0813,29.7115,2.1670282965342125,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
ec275415e97542e93003797aa7bcabbf,fast,1h,SOL,2022-11-04T06:00:00+00:00,2022-11-04T07:00:00+00:00,2022-11-07T06:00:00+00:00,32.4605,31.8962,-1.738420541889385,trend_break,72,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
0095c9d32d7160bdebb82bac17d476b2,fast,1h,ETH,2022-11-04T14:00:00+00:00,2022-11-04T15:00:00+00:00,2022-11-06T23:00:00+00:00,1661.06,1567.2224513619547,-5.649257018894282,stop,57,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
76d7f003f2407cb74d39b00908b4cabf,fast,1h,SOL,2022-11-23T20:00:00+00:00,2022-11-23T21:00:00+00:00,2022-11-23T21:00:00+00:00,14.2143,14.1275,-0.6106526526103995,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
